id,node_id,status,assigned_to,lat,long,x,y
261,,1,1,45.081606386,-84.774503831,,
262,,1,1,45.081606403,-84.774499452,,
263,,1,1,45.08160642,-84.774495073,,
264,,1,1,45.081606437,-84.774490694,,
265,,1,1,45.081606455,-84.774486315,,
266,,1,1,45.081606472,-84.774481937,,
267,,1,1,45.081606489,-84.774477558,,
268,,1,1,45.081606506,-84.774473179,,
269,,1,1,45.081606523,-84.7744688,,
270,,1,1,45.08160654,-84.774464421,,
271,,1,1,45.081606558,-84.774460042,,
272,,1,1,45.081606575,-84.774455663,,
273,,1,1,45.081606592,-84.774451284,,
274,,1,1,45.081606609,-84.774446905,,
275,,1,1,45.081606626,-84.774442527,,
276,,1,1,45.081606643,-84.774438148,,
277,,1,1,45.081606661,-84.774433769,,
278,,1,1,45.081606678,-84.77442939,,
279,,1,1,45.081606695,-84.774425011,,
280,,1,1,45.081606712,-84.774420632,,
281,,1,1,45.081606729,-84.774416253,,
282,,1,1,45.081606747,-84.774411874,,
283,,1,1,45.081606764,-84.774407495,,
284,,1,1,45.081606781,-84.774403117,,
285,,1,1,45.081606798,-84.774398738,,
286,,1,1,45.081606815,-84.774394359,,
287,,1,1,45.081606832,-84.77438998,,
288,,1,1,45.08160685,-84.774385601,,
289,,1,1,45.081606867,-84.774381222,,
290,,1,1,45.081606884,-84.774376843,,
291,,1,1,45.081606901,-84.774372464,,
292,,1,1,45.081606918,-84.774368085,,
293,,1,1,45.081606935,-84.774363707,,
294,,1,1,45.081606953,-84.774359328,,
295,,1,1,45.08160697,-84.774354949,,
296,,1,1,45.081606987,-84.77435057,,
297,,1,1,45.081607004,-84.774346191,,
298,,1,1,45.081607021,-84.774341812,,
299,,1,1,45.081607039,-84.774337433,,
300,,1,1,45.081607056,-84.774333054,,
301,,1,1,45.081588959,-84.77454762,,
302,,1,1,45.081588977,-84.774543229,,
303,,1,1,45.081588994,-84.774538838,,
304,,1,1,45.081589011,-84.774534447,,
305,,1,1,45.081589028,-84.774530056,,
